,id_url,Valor Real,Predicción
159,41819916,4.97,4.9510000000000005
1554,11589978,4.96,4.948100000000002
595,50217447,4.94,4.956100000000003
452,982771884533129815,4.93,4.930199999999999
1381,8637174,4.76,4.7662
861,942432342134788773,4.94,4.925500000000002
1718,20169868,4.93,4.929400000000001
680,668060347655389129,4.94,4.938400000000001
83,15871357,4.76,4.775399999999999
717,8706915,4.99,4.965900000000002
431,841365795889774589,4.88,4.892999999999997
1093,792157794825949262,4.73,4.742400000000001
1545,640699862388815180,4.92,4.962499999999999
1225,16842149,4.96,4.957800000000002
402,5918741,4.76,4.748999999999996
1858,716706403752860815,4.84,4.782099999999999
277,7087957,4.62,4.7132000000000005
91,547317560368181333,4.91,4.9193
351,47991080,4.89,4.910599999999999
62,19546546,4.99,4.9497000000000035
80,16001987,5.0,4.956
475,1093844852258219163,5.0,4.947999999999999
1521,1187015301665789164,5.0,4.964299999999999
814,19124180,4.79,4.770400000000001
89,813139795405307933,4.94,4.948200000000003
444,49706391,4.93,4.9195999999999955
234,10069247,4.89,4.785799999999998
1527,19914644,4.94,4.955200000000002
1586,50326480,4.82,4.7817
1131,624066624847957691,4.85,4.9315999999999995
208,39328389,4.93,4.930900000000002
1439,1247958507952338505,5.0,4.9624
1691,667468416907401021,4.93,4.9552000000000005
953,1187872754314814768,4.9,4.765999999999998
1266,612540130205731190,4.97,4.940200000000002
1132,723104306241647074,4.94,4.9209000000000005
54,937261850715595290,5.0,4.956000000000002
251,47848274,4.98,4.961400000000005
1715,1115914921955572961,5.0,4.960800000000002
1490,5632452,4.86,4.774999999999999
1569,711486142430161172,4.94,4.9254000000000016
1624,47941975,4.96,4.931500000000002
1597,1121117063485574472,5.0,4.953900000000001
1695,1614802,4.92,4.950200000000003
1798,10254486,4.84,4.932000000000001
439,742837034688639774,4.73,4.740599999999998
35,31190377,4.91,4.913800000000002
1159,1167475275454239384,4.63,4.743500000000001
1314,1051558700728556477,4.79,4.783099999999999
492,1174165078848829073,5.0,4.989999999999999
843,44762010,4.92,4.943200000000004
60,23414672,4.88,4.779600000000001
1766,50807348,4.85,4.9384000000000015
793,54195988,4.82,4.7849999999999975
965,52238284,4.89,4.771100000000001
1059,30578185,4.96,4.9397000000000055
538,25580293,4.97,4.942600000000004
1739,51229803,4.67,4.773999999999999
972,5900224,4.93,4.9311000000000025
1057,31825539,4.75,4.7841000000000005
1264,609429805324567153,4.76,4.793699999999999
1048,40707832,4.94,4.954600000000002
1160,1216909660106460467,5.0,4.9741
1078,908055638602291980,4.96,4.945600000000001
318,45879824,4.94,4.942500000000001
1389,1221736540222945037,5.0,4.9672
1153,983416938650707865,5.0,4.9388
1678,624342596084047443,4.77,4.774300000000002
1518,681768552735273379,4.72,4.813200000000002
1598,694892127643984481,4.77,4.765800000000002
1634,893797202679487808,4.96,4.960000000000001
1372,1421671,4.97,4.950900000000001
244,734015467958134028,4.88,4.9403999999999995
1574,38154526,4.96,4.940100000000002
1175,664564069160624499,4.63,4.783300000000001
1105,27928375,4.9,4.944
126,578410172347662680,4.9,4.9157
1610,42385034,4.98,4.965400000000003
731,1007296733762094413,5.0,4.971900000000002
1804,9579441,4.87,4.9276000000000035
784,944512183725045815,4.93,4.9458
1042,39229071,4.99,4.934699999999996
372,4617955,4.97,4.9414000000000025
776,876810816125223065,4.75,4.790600000000001
946,989363617312944359,4.93,4.950600000000002
455,50239360,4.44,4.735799999999999
1799,728930140296347649,4.98,4.935499999999999
299,49717706,4.71,4.7222
385,1023478203835911665,5.0,4.9371
1299,611114209229658792,4.82,4.821199999999998
1081,38955191,4.79,4.786199999999999
1853,51724827,4.93,4.933900000000001
1345,2115503,4.86,4.942699999999999
1733,17438902,4.8,4.732900000000001
1458,811054942188324447,4.91,4.7456
636,1046727095852364947,4.74,4.751500000000004
761,926795301939463700,5.0,4.964800000000002
53,37774894,4.94,4.917899999999999
770,2248778,4.97,4.931400000000002
459,696984405841936580,4.86,4.928899999999998
1425,16586949,4.95,4.914200000000001
280,25885124,4.98,4.937400000000001
1516,21190880,4.5,4.7896
1763,7026287,4.96,4.9316999999999975
840,47468802,4.68,4.737699999999999
826,692059645530733795,4.76,4.756000000000001
586,22355702,4.96,4.9322
1328,1093391501736663372,4.98,4.9351
214,29188280,4.99,4.935400000000003
1138,872075732208775750,4.93,4.9605000000000015
1553,46510058,4.9,4.944200000000004
568,1110335526637129935,4.94,4.964500000000001
78,1172039892285532903,4.94,4.9633
305,960262519188463493,4.81,4.7533
803,36661413,4.67,4.762999999999999
687,1143691149934065704,4.95,4.955399999999999
800,19364007,4.84,4.758800000000001
308,16690527,4.97,4.942600000000002
623,35796831,4.88,4.929800000000001
401,628256556425395347,4.96,4.9266000000000005
681,49177875,4.91,4.780899999999999
144,25371191,4.99,4.954500000000001
480,32924989,4.93,4.924000000000002
923,25444751,4.88,4.772600000000001
263,918994317587543134,5.0,4.966500000000003
764,1064012501627748669,4.92,4.9519
1188,702157980197184111,4.73,4.7615000000000025
1370,928545458683326806,4.85,4.8063
38,711542495666889849,4.47,4.724700000000002
782,1049478727006359920,5.0,4.9624999999999995
594,907521444174719984,4.9,4.944800000000001
606,915418629421926020,4.95,4.929900000000003
1219,629028544930934083,4.67,4.753600000000001
927,1136956755508910432,5.0,4.940000000000002
454,1134794326755128634,5.0,4.9404
556,772364645959328202,4.95,4.944700000000001
359,50437446,4.96,4.947900000000002
301,1219948170987117241,5.0,4.9879999999999995
471,702976593097188947,4.99,4.9483999999999995
1839,8597297,5.0,4.924300000000004
989,853814033336044518,5.0,4.958900000000001
1587,51050888,4.81,4.7839
759,15221864,4.58,4.729700000000001
1531,3712191,4.92,4.945300000000001
490,4824804,4.88,4.922100000000001
794,1203141684777790509,5.0,4.9742
336,14632346,4.87,4.905699999999995
909,1198618594501109322,5.0,4.979
75,50000091,4.82,4.748099999999998
314,1215906647830898730,5.0,4.9726
1791,39101380,4.54,4.7551
1162,23505794,4.93,4.929599999999999
853,10437411,4.97,4.9517000000000015
258,21963671,4.99,4.962300000000004
1227,1231280408910283824,5.0,4.960900000000001
1482,17537945,4.92,4.9247
476,22881495,4.86,4.914900000000002
36,828480276017584508,4.69,4.7465
68,873212808033148912,4.97,4.949000000000002
1507,52155542,4.79,4.807699999999999
977,1196246369245857742,4.9,4.976000000000002
451,607340985551136364,4.86,4.9225
613,859506987389521859,4.65,4.708399999999998
1316,33690503,4.92,4.913500000000003
1657,16577002,4.95,4.9434000000000005
993,868030696429655522,4.94,4.932700000000001
567,41956157,4.73,4.772900000000002
310,50010405,4.94,4.936500000000002
631,51451467,4.84,4.789000000000001
1012,1062300915058642186,4.92,4.952000000000001
1780,40761922,4.86,4.948900000000007
1340,4269254,4.92,4.9396
121,724644315146483381,4.74,4.7568
1308,629486854095921812,4.92,4.9341
1438,845933502473231934,4.88,4.9346
1223,13733593,4.9,4.879299999999998
736,52336515,4.99,4.9732
1501,50086942,4.75,4.7676
1783,991623785531977440,4.92,4.930400000000001
884,52125786,4.79,4.769600000000001
1315,1069593771189988922,4.9,4.931000000000001
739,43858970,4.99,4.967200000000002
357,4013309,4.96,4.954400000000003
393,809364234808124672,4.75,4.761400000000002
1449,52655676,4.73,4.7486999999999995
1825,42790726,4.96,4.928000000000003
874,1111487545337940259,4.96,4.9286
773,36116005,4.8,4.7907
1335,32813435,4.76,4.783400000000004
1144,52248713,4.87,4.928200000000001
578,9217030,4.97,4.935300000000005
976,917436466621451250,4.68,4.729800000000003
1187,878248077330414785,4.98,4.947500000000004
409,28868762,4.98,4.951800000000003
70,6678058,4.93,4.9429000000000025
1454,22829801,4.9,4.735300000000001
1838,2115503,4.86,4.965400000000005
1235,1108190346245069544,4.97,4.931000000000002
28,1200785178063453834,5.0,4.9738
134,15053620,4.85,4.7719
534,29509800,4.78,4.7373
1701,43011923,4.95,4.874799999999996
660,865165373047191747,4.97,4.94
1437,1110372317688044846,4.98,4.926100000000001
1848,21425660,4.91,4.948900000000002
355,598668124563532697,4.96,4.9406
1228,544219347103053346,4.94,4.933200000000002
1052,13633735,4.92,4.930000000000003
1441,28909212,4.95,4.930699999999999
673,704161034007614517,4.91,4.9353
1361,52199093,4.73,4.8011
1581,1165307526286303418,4.97,4.917600000000002
1063,1144932752249938868,5.0,4.952300000000003
1661,603634658885100425,4.98,4.937800000000001
489,669025316045840427,4.92,4.9203
249,20933318,4.96,4.9593000000000025
551,1121053426626307188,5.0,4.9631000000000025
168,52188178,4.87,4.9314
1566,22666059,4.79,4.797399999999999
95,1421774,4.87,4.923200000000001
1745,1225516471400863991,5.0,4.9941
446,853008970994744387,4.97,4.948199999999999
1631,849895199281375026,4.89,4.929400000000001
1030,36519291,4.98,4.966800000000003
1095,630176108437535179,4.78,4.7688999999999995
139,14505006,4.94,4.952600000000001
1591,52474672,4.89,4.909200000000001
1665,1035779877406739489,5.0,4.933599999999999
1167,52742673,4.99,4.928900000000002
1812,990973537420441726,4.98,4.953200000000004
1305,844937676892217546,4.88,4.917600000000002
1142,49714479,4.9,4.927600000000001
1415,707903214731420461,4.84,4.967800000000003
862,42695616,5.0,4.9635
224,943546735381736371,4.97,4.935900000000003
442,52201078,4.95,4.924100000000001
809,853838068375939256,4.99,4.963400000000001
185,1166990641479729210,5.0,4.971599999999999
1267,53741021,4.93,4.961899999999999
1422,835644139077998382,4.9,4.933200000000004
597,972065619251018060,4.99,4.971300000000003
1262,1510363,4.96,4.966500000000002
1360,53236629,4.82,4.7752
1470,907301096392557965,4.71,4.772599999999998
1265,563327154653568375,4.87,4.936300000000004
1453,4156913,4.98,4.934700000000001
1096,2693700,4.93,4.939700000000005
1698,898737566408971552,4.95,4.9285000000000005
1847,52077006,4.86,4.934499999999999
1238,753475720318471187,4.94,4.952500000000002
618,348714,4.83,4.951800000000001
1390,724650026938156385,4.7,4.809400000000002
691,31416436,4.9,4.9469
332,1190354285219997638,4.65,4.741899999999999
708,1057051912635896170,5.0,4.960700000000002
1769,48857332,4.89,4.928599999999999
1855,50787837,4.87,4.939999999999998
552,729136491494941077,4.92,4.946700000000002
1007,791572628250090348,4.39,4.7434
797,36073380,4.95,4.9312000000000005
802,588450321411010228,4.62,4.7345
1617,1188755234254543160,4.96,4.9344
325,43576117,4.98,4.937000000000001
1369,49733110,4.71,4.773300000000002
1600,681040432325929203,4.88,4.936599999999999
985,35233413,4.97,4.9393
352,635748721684924926,4.8,4.752199999999999
102,16807494,4.88,4.7592
1771,1009035711185789700,4.86,4.940600000000002
342,608103066316430821,4.89,4.9399000000000015
1842,28471944,4.99,4.936700000000001
1457,7971903,4.67,4.7501
1410,796406495359018289,4.94,4.9365000000000006
924,25870802,4.96,4.959799999999997
864,990973537420441726,4.98,4.957400000000005
281,6820255,4.87,4.902799999999999
142,558726911606733960,5.0,4.958300000000002
1547,899948341072361992,4.92,4.939800000000003
816,592060922968656560,4.93,4.9216
221,46490468,4.75,4.762800000000001
1210,1151711650677360167,5.0,4.9869
935,891667490982596443,4.88,4.9316
1844,41619718,4.98,4.919499999999998
1206,54192684,4.95,4.9140000000000015
1166,1225671132635344385,5.0,4.989999999999999
1036,1096306523761844493,5.0,4.9816
397,972591357926946109,4.97,4.9411000000000005
